feature,importance_auc_drop
X1,0.0255611868185414
X2,-0.000123585115306746
X3,0.000974057161698072
X4,0.000940221793703233
X5,-0.000820937784501652
X6,0.07830249679209
X7,0.0154231929977968
X8,0.00485021398002594
X9,0.00743116438110536
X10,8.40149391736489e-05
X11,0.000793984186265417
X12,0.010105305414371
X13,0.000657209012249416
X14,0.00214137735754116
X15,-0.00153492139728795
X16,0.00386468720205768
X17,0.00090208531960756
X18,0.0096253019734891
X19,0.00310081075850077
X20,0.00145979541071839
X21,0.00132187327507494
X22,0.0012326970085792
X23,0.00305722621667237
